batch_id,product_line,product_type,start_time,end_time,target_qty,produced_qty,defect_qty
BATCH000018,Line-B,Copper-Wire,2025-07-08T14:42:22.767Z,2025-07-08T22:42:22.767Z,124,127,5
BATCH000019,Line-B,Steel-Plate,2025-08-28T19:36:48.892Z,2025-08-28T21:36:48.892Z,527,545,43
BATCH000020,Line-A,Steel-Coil,2026-02-07T18:36:10.873Z,2026-02-07T19:36:10.873Z,637,632,25
BATCH000021,Line-B,Copper-Wire,2025-12-07T18:29:52.894Z,2025-12-08T02:29:52.894Z,982,917,86
BATCH000022,Line-D,Steel-Plate,2025-06-05T01:40:08.774Z,2025-06-05T05:40:08.774Z,903,894,64
BATCH000023,Line-C,Aluminum-Sheet,2025-09-24T09:09:19.211Z,2025-09-24T17:09:19.211Z,693,631,35
BATCH000024,Line-A,Copper-Wire,2025-10-19T16:34:14.031Z,2025-10-19T20:34:14.031Z,437,452,30
BATCH000025,Line-A,Steel-Coil,2025-08-03T16:56:20.582Z,2025-08-03T19:56:20.582Z,627,597,48
BATCH000026,Line-C,Steel-Coil,2025-06-26T03:00:55.816Z,2025-06-26T07:00:55.816Z,959,969,70
BATCH000027,Line-D,Aluminum-Sheet,2025-08-18T03:02:02.518Z,2025-08-18T08:02:02.518Z,323,315,12
BATCH000028,Line-A,Steel-Plate,2025-11-08T23:03:04.608Z,2025-11-09T05:03:04.608Z,719,710,59
BATCH000029,Line-C,Steel-Plate,2026-01-16T11:21:14.913Z,2026-01-16T15:21:14.913Z,822,748,71
BATCH000030,Line-C,Copper-Wire,2025-07-16T04:20:38.011Z,2025-07-16T12:20:38.011Z,337,350,16
BATCH000031,Line-D,Steel-Plate,2025-12-06T00:24:41.239Z,2025-12-06T06:24:41.239Z,329,304,21
BATCH000032,Line-C,Steel-Coil,2025-12-25T03:50:33.305Z,2025-12-25T07:50:33.305Z,854,822,78
BATCH000033,Line-C,Copper-Wire,2025-08-22T07:50:37.843Z,2025-08-22T09:50:37.843Z,315,301,18
BATCH000034,Line-D,Aluminum-Sheet,2025-06-09T21:39:50.474Z,2025-06-09T22:39:50.474Z,747,726,50
BATCH000035,Line-C,Copper-Wire,2025-11-06T17:21:15.626Z,2025-11-06T22:21:15.626Z,457,415,37
BATCH000036,Line-A,Copper-Wire,2025-06-24T01:27:03.756Z,2025-06-24T02:27:03.756Z,756,763,52
BATCH000037,Line-B,Steel-Coil,2025-12-28T04:47:48.074Z,2025-12-28T07:47:48.074Z,231,212,6
BATCH000038,Line-C,Copper-Wire,2026-01-07T14:19:12.991Z,2026-01-07T17:19:12.991Z,229,226,12
BATCH000039,Line-B,Steel-Coil,2025-12-30T17:11:04.269Z,2025-12-30T18:11:04.269Z,419,389,35
BATCH000040,Line-B,Steel-Plate,2025-06-26T14:45:14.590Z,2025-06-26T16:45:14.590Z,615,585,24
BATCH000041,Line-D,Steel-Coil,2025-09-01T20:03:06.700Z,2025-09-01T22:03:06.700Z,307,281,23
BATCH000042,Line-C,Steel-Coil,2025-06-21T04:27:58.693Z,2025-06-21T09:27:58.693Z,567,584,48
BATCH000043,Line-A,Steel-Coil,2025-06-24T19:06:03.377Z,2025-06-25T02:06:03.377Z,257,237,22
BATCH000044,Line-C,Steel-Plate,2025-09-28T18:53:28.643Z,2025-09-29T01:53:28.643Z,487,492,43
BATCH000045,Line-A,Steel-Plate,2025-12-21T01:02:27.316Z,2025-12-21T07:02:27.316Z,565,535,48
BATCH000046,Line-B,Steel-Coil,2025-12-21T16:45:13.632Z,2025-12-21T20:45:13.632Z,637,649,13
BATCH000047,Line-B,Steel-Plate,2025-12-19T02:15:35.580Z,2025-12-19T06:15:35.580Z,909,942,64
BATCH000048,Line-A,Aluminum-Sheet,2025-10-20T04:59:11.374Z,2025-10-20T09:59:11.374Z,839,875,11
BATCH000049,Line-C,Steel-Plate,2026-01-20T10:37:39.818Z,2026-01-20T13:37:39.818Z,786,824,27
BATCH000050,Line-D,Steel-Coil,2025-07-01T05:37:05.889Z,2025-07-01T09:37:05.889Z,840,782,8
BATCH000051,Line-C,Aluminum-Sheet,2026-01-23T05:13:27.697Z,2026-01-23T11:13:27.697Z,892,833,42
BATCH000052,Line-B,Steel-Coil,2025-09-02T22:47:35.936Z,2025-09-03T04:47:35.936Z,105,109,3
BATCH000053,Line-C,Copper-Wire,2025-07-22T14:57:54.366Z,2025-07-22T16:57:54.366Z,557,564,26
BATCH000054,Line-A,Steel-Plate,2025-08-17T08:03:32.085Z,2025-08-17T12:03:32.085Z,390,351,14
BATCH000055,Line-D,Aluminum-Sheet,2025-11-19T01:46:56.289Z,2025-11-19T09:46:56.289Z,379,397,13
BATCH000056,Line-B,Steel-Plate,2026-01-30T19:38:17.874Z,2026-01-30T20:38:17.874Z,407,402,6
BATCH000057,Line-A,Steel-Plate,2026-01-30T02:04:20.870Z,2026-01-30T10:04:20.870Z,988,1020,65
BATCH000058,Line-C,Steel-Coil,2025-11-17T22:03:24.210Z,2025-11-18T00:03:24.210Z,580,553,19
BATCH000059,Line-B,Steel-Plate,2026-01-04T20:28:19.115Z,2026-01-05T04:28:19.115Z,406,425,27
BATCH000060,Line-C,Steel-Coil,2025-06-13T02:46:57.191Z,2025-06-13T05:46:57.191Z,265,269,18
BATCH000061,Line-D,Copper-Wire,2025-09-29T04:35:12.341Z,2025-09-29T09:35:12.341Z,769,788,49
BATCH000062,Line-C,Steel-Plate,2025-07-04T05:41:12.864Z,2025-07-04T10:41:12.864Z,378,378,27
BATCH000063,Line-C,Steel-Plate,2025-11-27T04:56:56.307Z,2025-11-27T05:56:56.307Z,978,897,28
BATCH000064,Line-C,Steel-Plate,2025-12-25T13:37:01.884Z,2025-12-25T15:37:01.884Z,880,805,53
BATCH000065,Line-D,Steel-Plate,2026-01-31T09:01:16.301Z,2026-01-31T11:01:16.301Z,475,469,16
BATCH000066,Line-A,Steel-Plate,2026-02-04T08:18:23.235Z,2026-02-04T16:18:23.235Z,292,269,10
BATCH000067,Line-B,Copper-Wire,2025-07-01T17:07:45.701Z,2025-07-01T19:07:45.701Z,952,974,48
BATCH000068,Line-C,Copper-Wire,2026-01-15T07:22:54.006Z,2026-01-15T11:22:54.006Z,625,569,16
BATCH000069,Line-D,Copper-Wire,2025-11-25T16:11:40.893Z,2025-11-25T18:11:40.893Z,722,715,56
BATCH000070,Line-D,Aluminum-Sheet,2025-11-16T20:43:29.712Z,2025-11-17T04:43:29.712Z,901,867,18
BATCH000071,Line-D,Copper-Wire,2025-10-09T23:03:42.421Z,2025-10-10T05:03:42.421Z,160,154,4
BATCH000072,Line-D,Steel-Coil,2025-06-11T20:01:04.888Z,2025-06-12T03:01:04.888Z,947,956,14
BATCH000073,Line-D,Copper-Wire,2025-07-18T07:08:02.747Z,2025-07-18T14:08:02.747Z,626,591,36
BATCH000074,Line-C,Steel-Plate,2025-12-11T01:18:42.122Z,2025-12-11T04:18:42.122Z,377,392,31
BATCH000075,Line-A,Steel-Plate,2025-07-13T12:41:33.404Z,2025-07-13T15:41:33.404Z,855,853,67
BATCH000076,Line-C,Steel-Coil,2025-11-05T00:42:10.890Z,2025-11-05T06:42:10.890Z,235,216,7
BATCH000077,Line-C,Copper-Wire,2025-09-01T14:12:46.809Z,2025-09-01T20:12:46.809Z,643,589,38
BATCH000078,Line-A,Copper-Wire,2025-07-06T08:13:17.775Z,2025-07-06T16:13:17.775Z,783,715,22
BATCH000079,Line-A,Copper-Wire,2025-12-16T04:49:28.990Z,2025-12-16T06:49:28.990Z,135,128,4
BATCH000080,Line-D,Aluminum-Sheet,2025-09-07T08:56:13.094Z,2025-09-07T10:56:13.094Z,956,953,87
BATCH000081,Line-B,Steel-Coil,2025-08-04T13:30:19.866Z,2025-08-04T16:30:19.866Z,823,748,21
BATCH000082,Line-A,Copper-Wire,2025-11-29T08:06:34.044Z,2025-11-29T14:06:34.044Z,789,813,57
BATCH000083,Line-A,Copper-Wire,2025-09-26T01:07:31.033Z,2025-09-26T02:07:31.033Z,203,187,3
BATCH000084,Line-D,Steel-Coil,2025-07-24T07:28:26.170Z,2025-07-24T14:28:26.170Z,747,688,17
BATCH000085,Line-A,Aluminum-Sheet,2025-12-02T04:26:07.112Z,2025-12-02T07:26:07.112Z,530,508,34
BATCH000086,Line-B,Steel-Coil,2025-10-16T01:21:26.178Z,2025-10-16T02:21:26.178Z,402,373,19
BATCH000087,Line-A,Steel-Plate,2025-09-28T14:08:12.761Z,2025-09-28T16:08:12.761Z,744,694,49
BATCH000088,Line-B,Steel-Coil,2025-10-30T00:54:40.533Z,2025-10-30T01:54:40.533Z,634,624,32
BATCH000089,Line-B,Steel-Plate,2025-10-15T19:59:57.618Z,2025-10-16T03:59:57.618Z,276,288,22
BATCH000090,Line-B,Steel-Coil,2025-09-20T12:17:43.171Z,2025-09-20T13:17:43.171Z,402,410,7
BATCH000091,Line-D,Aluminum-Sheet,2025-06-03T02:09:30.830Z,2025-06-03T03:09:30.830Z,826,768,9
BATCH000092,Line-C,Steel-Coil,2025-12-25T21:23:28.576Z,2025-12-26T03:23:28.576Z,698,661,10
BATCH000093,Line-C,Steel-Plate,2025-06-28T11:42:08.984Z,2025-06-28T16:42:08.984Z,307,281,20
BATCH000094,Line-B,Copper-Wire,2026-01-07T18:01:15.172Z,2026-01-07T23:01:15.172Z,575,578,45
BATCH000095,Line-D,Copper-Wire,2025-12-18T20:35:44.980Z,2025-12-19T00:35:44.980Z,173,167,1
BATCH000096,Line-C,Steel-Coil,2025-11-08T19:07:54.820Z,2025-11-09T01:07:54.820Z,941,875,40
BATCH000097,Line-B,Copper-Wire,2025-08-16T17:20:01.017Z,2025-08-16T18:20:01.017Z,406,375,26
BATCH000098,Line-A,Steel-Plate,2026-01-14T15:56:19.221Z,2026-01-14T19:56:19.221Z,254,238,10
BATCH000099,Line-B,Copper-Wire,2025-09-17T09:11:46.169Z,2025-09-17T10:11:46.169Z,960,877,75
BATCH000100,Line-B,Copper-Wire,2025-08-09T12:27:30.400Z,2025-08-09T19:27:30.400Z,962,937,37
BATCH000101,Line-B,Copper-Wire,2025-08-30T18:47:09.853Z,2025-08-31T00:47:09.853Z,604,617,51
BATCH000102,Line-C,Aluminum-Sheet,2026-02-01T05:41:49.193Z,2026-02-01T08:41:49.193Z,894,931,53
BATCH000103,Line-B,Aluminum-Sheet,2025-08-05T02:16:37.077Z,2025-08-05T06:16:37.077Z,988,899,48
BATCH000104,Line-D,Aluminum-Sheet,2025-11-03T18:23:24.271Z,2025-11-04T01:23:24.271Z,968,962,67
BATCH000105,Line-B,Steel-Coil,2026-02-12T04:48:07.461Z,2026-02-12T12:48:07.461Z,299,283,20
BATCH000106,Line-B,Copper-Wire,2026-02-05T11:24:36.113Z,2026-02-05T13:24:36.113Z,724,659,35
BATCH000107,Line-D,Steel-Coil,2025-12-03T06:04:39.481Z,2025-12-03T14:04:39.481Z,214,216,7
BATCH000108,Line-D,Aluminum-Sheet,2025-11-15T20:58:48.520Z,2025-11-16T00:58:48.520Z,504,523,42
BATCH000109,Line-B,Steel-Plate,2025-07-06T04:48:34.207Z,2025-07-06T08:48:34.207Z,945,945,55
BATCH000110,Line-B,Steel-Plate,2025-08-23T07:27:12.661Z,2025-08-23T10:27:12.661Z,491,487,36
BATCH000111,Line-C,Aluminum-Sheet,2025-07-08T08:48:48.002Z,2025-07-08T16:48:48.002Z,185,188,14
BATCH000112,Line-C,Steel-Coil,2025-08-28T08:58:45.443Z,2025-08-28T16:58:45.443Z,715,679,46
BATCH000113,Line-B,Steel-Coil,2025-09-12T11:21:39.794Z,2025-09-12T13:21:39.794Z,449,450,28
BATCH000114,Line-C,Steel-Plate,2025-12-20T16:19:31.628Z,2025-12-20T19:19:31.628Z,174,170,13
BATCH000115,Line-D,Steel-Plate,2025-12-11T22:04:51.353Z,2025-12-12T01:04:51.353Z,117,110,9
BATCH000116,Line-C,Aluminum-Sheet,2026-01-25T08:27:44.239Z,2026-01-25T15:27:44.239Z,344,336,12
BATCH000117,Line-D,Steel-Coil,2025-09-23T22:01:45.847Z,2025-09-23T23:01:45.847Z,874,840,72
BATCH000118,Line-A,Aluminum-Sheet,2026-01-16T15:58:25.593Z,2026-01-16T19:58:25.593Z,130,124,9
BATCH000119,Line-B,Steel-Coil,2025-07-15T21:36:14.501Z,2025-07-16T03:36:14.501Z,225,213,10
BATCH000120,Line-A,Aluminum-Sheet,2025-10-23T00:52:00.474Z,2025-10-23T08:52:00.474Z,260,239,22
BATCH000121,Line-C,Aluminum-Sheet,2026-02-06T23:04:38.643Z,2026-02-07T06:04:38.643Z,540,528,26
BATCH000122,Line-D,Steel-Coil,2025-08-21T01:25:00.142Z,2025-08-21T07:25:00.142Z,870,890,80
BATCH000123,Line-B,Steel-Coil,2026-02-09T12:58:59.357Z,2026-02-09T15:58:59.357Z,618,603,54
BATCH000124,Line-B,Copper-Wire,2025-11-04T11:50:00.040Z,2025-11-04T14:50:00.040Z,130,131,12
BATCH000125,Line-C,Steel-Plate,2025-06-24T03:10:55.186Z,2025-06-24T06:10:55.186Z,706,715,70
BATCH000126,Line-D,Aluminum-Sheet,2025-11-09T18:22:18.163Z,2025-11-10T01:22:18.163Z,363,357,13
BATCH000127,Line-C,Steel-Plate,2025-09-13T06:12:32.906Z,2025-09-13T13:12:32.906Z,998,960,50
BATCH000128,Line-B,Steel-Plate,2025-08-22T10:24:39.860Z,2025-08-22T17:24:39.860Z,574,517,24
BATCH000129,Line-C,Copper-Wire,2025-11-05T23:06:25.256Z,2025-11-06T03:06:25.256Z,585,559,45
BATCH000130,Line-D,Steel-Coil,2025-07-28T12:48:12.247Z,2025-07-28T15:48:12.247Z,921,941,54
BATCH000131,Line-B,Steel-Plate,2025-10-25T11:52:59.786Z,2025-10-25T13:52:59.786Z,978,915,38
BATCH000132,Line-A,Steel-Coil,2026-01-15T06:26:23.371Z,2026-01-15T07:26:23.371Z,538,521,23
BATCH000133,Line-A,Copper-Wire,2025-07-16T16:24:29.612Z,2025-07-16T20:24:29.612Z,205,214,10
BATCH000134,Line-B,Steel-Coil,2025-09-06T05:34:02.426Z,2025-09-06T06:34:02.426Z,155,140,11
BATCH000135,Line-C,Aluminum-Sheet,2025-12-25T12:13:24.463Z,2025-12-25T13:13:24.463Z,870,791,15
BATCH000136,Line-C,Copper-Wire,2025-11-21T17:58:40.525Z,2025-11-21T22:58:40.525Z,968,939,77
BATCH000137,Line-D,Copper-Wire,2025-10-06T08:00:18.880Z,2025-10-06T14:00:18.880Z,897,872,43
BATCH000138,Line-A,Steel-Coil,2026-01-15T13:50:55.378Z,2026-01-15T15:50:55.378Z,350,338,28
BATCH000139,Line-C,Copper-Wire,2025-10-23T18:23:45.160Z,2025-10-23T23:23:45.160Z,299,282,20
BATCH000140,Line-B,Steel-Plate,2026-01-03T03:39:59.347Z,2026-01-03T06:39:59.347Z,817,762,16
BATCH000141,Line-B,Copper-Wire,2025-09-23T03:47:43.825Z,2025-09-23T06:47:43.825Z,458,465,42
BATCH000142,Line-B,Steel-Plate,2025-07-26T16:09:45.916Z,2025-07-26T19:09:45.916Z,754,777,40
BATCH000143,Line-D,Steel-Coil,2026-01-27T23:07:18.141Z,2026-01-28T06:07:18.141Z,255,238,13
BATCH000144,Line-C,Steel-Coil,2026-02-02T07:23:58.799Z,2026-02-02T12:23:58.799Z,455,417,9
BATCH000145,Line-D,Steel-Coil,2025-10-22T00:30:26.027Z,2025-10-22T05:30:26.027Z,773,697,53
BATCH000146,Line-C,Aluminum-Sheet,2025-07-22T14:42:49.445Z,2025-07-22T15:42:49.445Z,488,512,10
BATCH000147,Line-D,Steel-Plate,2025-10-25T20:17:16.162Z,2025-10-26T03:17:16.162Z,246,240,10
BATCH000148,Line-A,Copper-Wire,2025-12-04T18:46:23.561Z,2025-12-04T22:46:23.561Z,889,844,49
BATCH000149,Line-B,Copper-Wire,2025-12-06T22:02:05.279Z,2025-12-07T01:02:05.279Z,329,316,4
BATCH000150,Line-A,Steel-Coil,2025-08-16T12:38:00.879Z,2025-08-16T19:38:00.879Z,597,550,28
BATCH000151,Line-C,Aluminum-Sheet,2026-01-20T18:36:12.494Z,2026-01-20T23:36:12.494Z,865,845,67
BATCH000152,Line-D,Aluminum-Sheet,2025-07-16T09:21:54.280Z,2025-07-16T14:21:54.280Z,220,212,5
BATCH000153,Line-B,Copper-Wire,2025-07-12T23:13:05.862Z,2025-07-13T00:13:05.862Z,189,177,6
BATCH000154,Line-A,Aluminum-Sheet,2025-10-08T14:05:26.742Z,2025-10-08T22:05:26.742Z,707,700,60
BATCH000155,Line-B,Copper-Wire,2025-07-15T11:08:08.436Z,2025-07-15T18:08:08.436Z,135,140,1
BATCH000156,Line-C,Steel-Coil,2025-08-31T17:05:42.437Z,2025-08-31T23:05:42.437Z,202,199,17
BATCH000157,Line-D,Steel-Plate,2025-12-27T19:46:23.078Z,2025-12-28T03:46:23.078Z,492,446,28
BATCH000158,Line-A,Steel-Coil,2025-06-20T11:45:03.125Z,2025-06-20T18:45:03.125Z,713,744,31
BATCH000159,Line-A,Aluminum-Sheet,2025-12-27T11:06:28.841Z,2025-12-27T17:06:28.841Z,861,804,20
BATCH000160,Line-B,Steel-Coil,2025-10-04T08:47:19.735Z,2025-10-04T16:47:19.735Z,421,384,24
BATCH000161,Line-C,Steel-Coil,2026-02-03T22:01:15.283Z,2026-02-04T02:01:15.283Z,696,707,38
BATCH000162,Line-D,Aluminum-Sheet,2025-07-03T06:42:51.910Z,2025-07-03T12:42:51.910Z,238,234,19
BATCH000163,Line-C,Copper-Wire,2026-01-15T19:08:35.020Z,2026-01-15T22:08:35.020Z,918,927,14
BATCH000164,Line-A,Steel-Plate,2026-02-14T19:02:06.982Z,2026-02-14T20:02:06.982Z,518,528,9
BATCH000165,Line-B,Steel-Plate,2025-12-25T09:16:46.861Z,2025-12-25T12:16:46.861Z,661,619,44
BATCH000166,Line-D,Copper-Wire,2026-01-10T07:57:27.705Z,2026-01-10T09:57:27.705Z,911,861,70
BATCH000167,Line-C,Copper-Wire,2025-08-11T14:44:12.352Z,2025-08-11T19:44:12.352Z,829,816,56
BATCH000168,Line-A,Steel-Coil,2025-08-07T01:15:37.182Z,2025-08-07T07:15:37.182Z,648,677,35
BATCH000169,Line-A,Aluminum-Sheet,2025-12-01T20:13:29.242Z,2025-12-02T01:13:29.242Z,248,236,9
BATCH000170,Line-B,Steel-Plate,2025-06-12T01:56:37.326Z,2025-06-12T07:56:37.326Z,339,324,32
BATCH000171,Line-C,Steel-Plate,2025-12-10T06:40:37.937Z,2025-12-10T08:40:37.937Z,391,362,15
BATCH000172,Line-C,Copper-Wire,2025-11-18T18:20:02.122Z,2025-11-18T22:20:02.122Z,477,490,21
BATCH000173,Line-A,Steel-Coil,2026-01-15T19:25:20.505Z,2026-01-15T20:25:20.505Z,231,228,5
BATCH000174,Line-A,Aluminum-Sheet,2025-11-10T10:44:49.420Z,2025-11-10T16:44:49.420Z,612,582,19
BATCH000175,Line-D,Steel-Coil,2026-01-01T21:25:52.158Z,2026-01-02T03:25:52.158Z,362,347,12
BATCH000176,Line-D,Aluminum-Sheet,2025-10-03T09:02:31.655Z,2025-10-03T15:02:31.655Z,710,666,23
BATCH000177,Line-C,Copper-Wire,2025-12-31T07:18:25.614Z,2025-12-31T11:18:25.614Z,469,427,7
BATCH000178,Line-D,Copper-Wire,2025-09-25T05:28:06.755Z,2025-09-25T07:28:06.755Z,744,703,12
BATCH000179,Line-D,Steel-Coil,2025-09-27T17:35:58.548Z,2025-09-28T01:35:58.548Z,296,288,20
BATCH000180,Line-C,Steel-Coil,2025-12-05T06:24:29.536Z,2025-12-05T10:24:29.536Z,724,672,37
BATCH000181,Line-B,Steel-Coil,2025-09-07T10:31:59.611Z,2025-09-07T17:31:59.611Z,222,209,19
BATCH000182,Line-D,Copper-Wire,2025-11-17T03:59:05.932Z,2025-11-17T07:59:05.932Z,355,326,9
BATCH000183,Line-C,Steel-Plate,2025-07-12T09:46:51.405Z,2025-07-12T15:46:51.405Z,126,122,9
BATCH000184,Line-A,Copper-Wire,2025-07-31T05:41:48.196Z,2025-07-31T10:41:48.196Z,415,434,25
BATCH000185,Line-B,Copper-Wire,2025-12-03T00:23:38.612Z,2025-12-03T02:23:38.612Z,264,267,10
BATCH000186,Line-C,Steel-Coil,2026-01-29T16:29:46.506Z,2026-01-29T21:29:46.506Z,613,583,5
BATCH000187,Line-A,Copper-Wire,2026-01-01T06:28:42.174Z,2026-01-01T13:28:42.174Z,128,127,3
BATCH000188,Line-D,Steel-Plate,2025-07-15T11:48:40.191Z,2025-07-15T18:48:40.191Z,211,220,13
BATCH000189,Line-A,Steel-Coil,2025-08-25T05:44:08.973Z,2025-08-25T13:44:08.973Z,382,397,22
BATCH000190,Line-D,Steel-Plate,2025-12-25T12:15:17.029Z,2025-12-25T18:15:17.029Z,178,169,7
BATCH000191,Line-A,Steel-Plate,2025-07-06T18:37:38.712Z,2025-07-07T00:37:38.712Z,914,957,13
BATCH000192,Line-D,Steel-Coil,2025-10-17T23:37:54.588Z,2025-10-18T03:37:54.588Z,513,533,35
BATCH000193,Line-A,Steel-Coil,2026-01-19T00:22:25.553Z,2026-01-19T08:22:25.553Z,537,515,31
BATCH000194,Line-A,Copper-Wire,2025-07-18T21:44:25.806Z,2025-07-19T05:44:25.806Z,661,686,48
BATCH000195,Line-A,Steel-Coil,2026-01-15T00:05:42.600Z,2026-01-15T04:05:42.600Z,911,841,71
BATCH000196,Line-D,Steel-Coil,2025-09-16T14:09:25.851Z,2025-09-16T19:09:25.851Z,370,344,19
BATCH000197,Line-C,Steel-Plate,2026-01-14T10:15:37.844Z,2026-01-14T18:15:37.844Z,305,315,8
BATCH000198,Line-D,Copper-Wire,2025-08-26T08:40:44.091Z,2025-08-26T14:40:44.091Z,314,292,20
BATCH000199,Line-B,Aluminum-Sheet,2025-08-17T04:52:12.889Z,2025-08-17T09:52:12.889Z,236,220,20
BATCH000200,Line-A,Copper-Wire,2025-11-08T10:44:10.765Z,2025-11-08T12:44:10.765Z,230,210,17
BATCH000201,Line-C,Steel-Plate,2025-07-18T06:16:58.560Z,2025-07-18T13:16:58.560Z,814,776,48
BATCH000202,Line-D,Aluminum-Sheet,2025-10-02T02:15:46.100Z,2025-10-02T05:15:46.100Z,364,371,32
BATCH000203,Line-A,Steel-Plate,2025-08-07T10:23:17.539Z,2025-08-07T15:23:17.539Z,527,485,32
BATCH000204,Line-C,Steel-Plate,2025-07-01T16:03:37.173Z,2025-07-02T00:03:37.173Z,575,545,24
BATCH000205,Line-A,Steel-Coil,2025-12-25T10:38:05.276Z,2025-12-25T17:38:05.276Z,502,478,39
BATCH000206,Line-A,Aluminum-Sheet,2026-01-31T12:00:25.691Z,2026-01-31T19:00:25.691Z,967,978,83
BATCH000207,Line-A,Aluminum-Sheet,2025-06-01T09:58:40.107Z,2025-06-01T15:58:40.107Z,517,480,34
BATCH000208,Line-B,Copper-Wire,2026-01-30T12:39:02.029Z,2026-01-30T14:39:02.029Z,375,389,29
BATCH000209,Line-A,Copper-Wire,2025-07-05T05:18:40.387Z,2025-07-05T07:18:40.387Z,242,221,20
BATCH000210,Line-C,Steel-Coil,2025-08-09T21:09:54.304Z,2025-08-10T04:09:54.304Z,682,648,58
BATCH000211,Line-B,Steel-Coil,2025-06-26T02:29:07.957Z,2025-06-26T08:29:07.957Z,302,297,16
BATCH000212,Line-C,Steel-Coil,2025-06-06T06:50:57.079Z,2025-06-06T11:50:57.079Z,784,788,15
BATCH000213,Line-A,Copper-Wire,2025-07-18T09:09:26.820Z,2025-07-18T16:09:26.820Z,666,601,51
BATCH000214,Line-C,Aluminum-Sheet,2025-11-30T11:22:12.221Z,2025-11-30T17:22:12.221Z,884,866,68
BATCH000215,Line-B,Copper-Wire,2025-12-14T14:39:37.653Z,2025-12-14T16:39:37.653Z,621,613,22
BATCH000216,Line-D,Steel-Coil,2025-07-25T01:12:55.101Z,2025-07-25T03:12:55.101Z,565,528,18
BATCH000217,Line-D,Steel-Plate,2025-11-23T03:01:34.480Z,2025-11-23T05:01:34.480Z,864,814,8
BATCH000218,Line-A,Copper-Wire,2025-11-22T11:41:41.071Z,2025-11-22T19:41:41.071Z,753,699,58
BATCH000219,Line-A,Steel-Plate,2025-06-27T17:33:43.770Z,2025-06-27T22:33:43.770Z,762,714,65
BATCH000220,Line-B,Aluminum-Sheet,2025-11-13T03:47:12.015Z,2025-11-13T08:47:12.015Z,493,457,12
BATCH000221,Line-C,Copper-Wire,2025-08-20T19:02:51.470Z,2025-08-21T00:02:51.470Z,700,644,15
BATCH000222,Line-B,Copper-Wire,2025-09-13T16:24:28.970Z,2025-09-13T17:24:28.970Z,387,396,30
BATCH000223,Line-C,Copper-Wire,2025-09-21T19:38:49.526Z,2025-09-21T21:38:49.526Z,233,221,20
BATCH000224,Line-D,Steel-Plate,2025-12-31T14:52:52.330Z,2025-12-31T20:52:52.330Z,660,612,48
BATCH000225,Line-C,Copper-Wire,2025-08-26T21:51:09.099Z,2025-08-27T04:51:09.099Z,856,819,76
BATCH000226,Line-D,Steel-Plate,2025-09-05T08:22:29.030Z,2025-09-05T09:22:29.030Z,541,505,31
BATCH000227,Line-D,Copper-Wire,2025-10-25T21:21:31.999Z,2025-10-26T01:21:31.999Z,884,874,19
BATCH000228,Line-B,Copper-Wire,2026-01-11T12:39:03.580Z,2026-01-11T19:39:03.580Z,102,92,2
BATCH000229,Line-B,Steel-Coil,2025-11-15T20:06:34.120Z,2025-11-16T03:06:34.120Z,499,520,21
BATCH000230,Line-A,Steel-Coil,2025-06-02T06:35:55.205Z,2025-06-02T08:35:55.205Z,170,154,7
